epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,5535.5,0.51226,0.40492,0.96609,0.99381,0.91975,0.97076,0.7184,1.02765,0.50222,1.23171,0.000356815,0.000356815,0.000356815
72,5611.51,0.49904,0.43124,0.94667,0.98024,0.91848,0.96599,0.72262,0.99267,0.47387,1.20751,0.000336086,0.000336086,0.000336086
73,5687.71,0.52063,0.42537,0.97727,0.98036,0.92424,0.97207,0.7172,1.01494,0.47896,1.23576,0.000315855,0.000315855,0.000315855
74,5764.15,0.49269,0.39764,0.94808,0.98064,0.93805,0.97963,0.72984,1.00684,0.44542,1.22818,0.000296144,0.000296144,0.000296144
75,5844.36,0.48804,0.39146,0.95183,0.97329,0.95062,0.97967,0.71724,1.04259,0.46487,1.23911,0.000276971,0.000276971,0.000276971
76,5920.46,0.4908,0.3894,0.96053,0.98077,0.94429,0.97717,0.73487,0.99522,0.46421,1.22003,0.000258355,0.000258355,0.000258355
77,6002.76,0.48492,0.39203,0.95003,0.97172,0.9321,0.97464,0.72354,1.01108,0.479,1.22998,0.000240316,0.000240316,0.000240316
78,6078.72,0.47599,0.38882,0.94371,0.97317,0.93827,0.9718,0.72444,1.01439,0.46466,1.22702,0.00022287,0.00022287,0.00022287
79,6154.54,0.47098,0.36777,0.94958,0.97208,0.93827,0.97409,0.72,1.0096,0.49238,1.2178,0.000206034,0.000206034,0.000206034
80,6230.4,0.4763,0.37866,0.94747,0.97567,0.93827,0.97957,0.72419,0.99504,0.44974,1.21312,0.000189827,0.000189827,0.000189827
81,6306.55,0.45897,0.37196,0.93811,0.96644,0.94444,0.96629,0.71977,1.00855,0.47066,1.23531,0.000174262,0.000174262,0.000174262
82,6382.6,0.47384,0.38679,0.95237,0.98061,0.93661,0.96678,0.71608,1.01073,0.47621,1.22694,0.000159357,0.000159357,0.000159357
83,6458.65,0.45831,0.36233,0.93293,0.96933,0.93827,0.97356,0.72328,1.00249,0.46407,1.22543,0.000145125,0.000145125,0.000145125
84,6534.73,0.45463,0.35101,0.93057,0.98357,0.9321,0.96987,0.72461,0.99925,0.46816,1.21651,0.000131581,0.000131581,0.000131581
85,6610.52,0.45349,0.36152,0.93885,0.97632,0.94444,0.97164,0.71162,1.02464,0.46412,1.23049,0.000118737,0.000118737,0.000118737
86,6686.24,0.44661,0.3588,0.92961,0.97449,0.94308,0.97011,0.72081,1.0054,0.47201,1.222,0.000106608,0.000106608,0.000106608
87,6762.13,0.462,0.35782,0.93979,0.97741,0.93827,0.96828,0.72356,0.99422,0.46464,1.21705,9.52034e-05,9.52034e-05,9.52034e-05
88,6837.98,0.44658,0.34808,0.93334,0.97076,0.93827,0.9669,0.7306,0.98445,0.45791,1.20935,8.4536e-05,8.4536e-05,8.4536e-05
89,6913.63,0.44608,0.3472,0.92759,0.98685,0.92652,0.97106,0.72599,0.98601,0.45471,1.2017,7.4616e-05,7.4616e-05,7.4616e-05
90,6989.16,0.43312,0.34739,0.91992,0.96242,0.94865,0.96832,0.73061,0.98533,0.45043,1.20532,6.54531e-05,6.54531e-05,6.54531e-05
91,7066.35,0.40698,0.27049,0.89793,0.9688,0.92593,0.96439,0.71986,0.99349,0.45049,1.21498,5.70564e-05,5.70564e-05,5.70564e-05
92,7141.85,0.40477,0.3014,0.90393,0.97276,0.91975,0.96693,0.72949,0.97354,0.4465,1.19867,4.94343e-05,4.94343e-05,4.94343e-05
93,7217.4,0.39766,0.26087,0.89729,0.96847,0.91975,0.97134,0.72884,0.97013,0.44809,1.1977,4.25941e-05,4.25941e-05,4.25941e-05
94,7293.03,0.4027,0.26753,0.90867,0.96525,0.91975,0.97406,0.72616,0.97775,0.44425,1.19742,3.65426e-05,3.65426e-05,3.65426e-05
95,7368.53,0.38199,0.25054,0.88254,0.96764,0.92291,0.97054,0.73215,0.97817,0.44212,1.19845,3.12859e-05,3.12859e-05,3.12859e-05
96,7444.45,0.37985,0.24347,0.8751,0.96457,0.93827,0.97342,0.73277,0.98147,0.44504,1.20176,2.68292e-05,2.68292e-05,2.68292e-05
